id,trip_id,from_name,from_lat,from_lng,to_name,to_lat,to_lng,transport_type,description
8,2,Paris France,48.8566,2.3522,Bordeaux France,44.8416,-0.5811,train,TVG bullet train through the French Countryside
9,2,Bordeaux France,44.8416,-0.5811,Pauillac France,45.1996,-0.7462,car,Drive up and down the left bank of Bordeaux wine region
10,2,Bordeaux France,44.8416,-0.5811,Paris France,48.8566,2.3522,train,TVG bullet train through the French Countryside
11,2,Paris France,48.8566,2.3522,Rennes France,48.1173,-1.6778,train,TVG bullet train to get out of Paris
12,2,Rennes France,48.1173,-1.6778,Mont Saint-Michel France,48.6361,-1.5115,car,Rural drive through Brittany
13,2,Mont Saint-Michel France,48.6361,-1.5115,Saint-Goazec France,48.1624,-3.7841,car,Drive to work Chateau
14,2,Saint-Goazec France,48.1624,-3.7841,Chateau d'Azay-le-Rideau France,47.259,-0.4657,car,Drive to Loire Valley
15,2,Azay-le-Rideau France,47.259,-0.4657,Chenonceaux France,47.3249,1.0703,car,Scenic drive through the Loire Valley
16,2,Chenonceaux France,47.3249,1.0703,Amboise France,47.4137,0.9861,car,Castle hopping!
17,2,Amboise France,47.4137,0.9861,Chambord France,47.6158,1.5169,car,Drive to Chambord
18,2,Chambord France,47.6158,1.5169,Etretat France,49.707,0.2056,car,Long drive to the northern coast!
19,2,Etretat France,49.707,0.2056,Normandy D-Day Beach France,49.3585,-0.8545,car,Drive along the coast of Normandy
20,2,Normandy D-Day Beach France,49.3585,-0.8545,Rennes France,48.1173,-1.6778,car,Return rental car to Rennes
21,2,Rennes France,48.1173,-1.6778,Paris France,48.8566,2.3522,train,Return to Paris by TVG bullet train
22,3,Seoul South Korea,37.5503,126.997,DMZ South Korea,37.7596,126.7778,bus,Scenic mountain bus journey
23,3,DMZ South Korea,37.7596,126.7778,Seoul South Korea,37.5503,126.997,bus,Return journey from DMZ
24,3,Seoul South Korea,37.5503,126.997,Busan South Korea,35.1731,129.0714,train,KTX high-speed train to coastal Busan
25,3,Busan South Korea,35.1731,129.0714,Seoul South Korea,37.5503,126.997,train,KTX high-speed train to coastal Busan
26,3,Seoul South Korea,37.5503,126.997,Beijing China,40.0799,116.6031,plane,Short flight to Beijing
27,4,Seoul South Korea,37.5503,126.997,Beijing China,40.0799,116.6031,plane,Short flight from ICN
28,4,Beijing China,40.0799,116.6031,Changchun China,43.816,125.3236,train,Bullet train to Changchun
29,4,Changchun China,43.816,125.3236,Gongzhuling China,43.5047,124.8228,train,Bullet train to Gongzhuling
30,4,Gongzhuling China,43.5047,124.8228,Chengde China,40.9515,117.9634,train,Bullet train to Chengde
31,4,Chengde China,40.9515,117.9634,Beijing China,40.0799,116.6031,train,Bullet train to Beijing
32,4,Beijing China,40.0799,116.6031,The Great Wall China,40.4327,116.564,car,Didi drive to the Great Wall
33,4,The Great Wall China,40.4327,116.564,Beijing China,40.0799,116.6031,car,Didi drive back to Beijing
34,4,Beijing China,40.0799,116.6031,Tiananmen Square China,39.9055,116.3976,train,Subway to Tiananmen Square
35,4,Tiananmen Square China,39.9055,116.3976,Temple of Heaven China,39.8822,116.4066,train,Subway to Temple of Heaven
36,4,Temple of Heaven China,39.8822,116.4066,Summer Palace China,40,116.2755,train,Subway to Summer Palace
37,4,Summer Palace China,40,116.2755,Beijing China,40.0799,116.6031,train,Subway back to PEK airport
38,4,Beijing China,40.0799,116.6031,Zhangjiajie China,29.1167,110.4784,plane,Short domestic flight to Zhangjiajie
39,4,Zhangjiajie China,29.1167,110.4784,Wulingyuan China,29.3459,110.5504,car,Short Didi drive to Wulingyuan
40,4,Wulingyuan China,29.3459,110.5504,Zhangjiajie Glass Bridge China,29.3982,110.6962,bus,Tour to China's Grand Canyon
41,4,Zhangjiajie Glass Bridge China,29.3982,110.6962,Tianmen Mountain China,29.0468,110.4821,bus,Tour to Tianmen Mountain
42,4,Tianmen Mountain China,29.0468,110.4821,Zhangjiajiebei Railway Station China,29.1046,110.487,bus,Quick bus ride to railway station
43,4,Zhangjiajiebei Railway Station China,29.1046,110.487,Furong Ancient Town China,28.7673,109.9748,train,Bullet train to Furong Ancient Town
44,4,Furong Ancient Town China,28.7673,109.9748,Fenghuang Ancient Town China,27.9484,109.5983,train,Bullet train to Fenghuang Ancient Town
45,4,Fenghuang Ancient Town China,27.9484,109.5983,Zhangjiajiebei Railway Station China,29.1046,110.487,train,Bullet train to Zhangjiajiebei Railway Station
